software,0.142857143,0.142857149
topNum1,1.8333333333333333,1.1666666666666665
software10
software11
software12
software13
software14
software15
software16
software17
software18
software19
software02
software20
software21
software22
software23
software24
software25
software03
software04
software05
software06
software07
software08
software09
