Percentage,CDAG,CloAct
0.01,0.5,0.5
0.02,0.75,0.666666687
0.03,0.833333333,0.75
0.04,0.916666667,0.75
0.05,0.916666667,0.75
0.06,1,0.833333313
0.07,1,0.833333313
0.08,1,0.916666687
0.09,1,0.916666687
0.1,1,0.916666687
0.11,1,1
0.12,1,1
0.13,1,1
0.14,1,1
0.15,1,1
