Percentage,CDAG,CloAct
0.01,0.037037037,0
0.02,0.037037037,0.037037037
0.03,0.074074074,0.037037037
0.04,0.111111111,0.074074075
0.05,0.111111111,0.111111112
0.06,0.148148148,0.111111112
0.07,0.185185185,0.148148149
0.08,0.222222222,0.185185179
0.09,0.222222222,0.185185179
0.1,0.259259259,0.222222224
0.11,0.296296296,0.259259254
0.12,0.296296296,0.259259254
0.13,0.333333333,0.296296299
0.14,0.333333333,0.333333343
0.15,0.333333333,0.333333343
