Percentage,CDAG,CloAct
0.01,0.444444444,0.222222224
0.02,0.555555556,0.222222224
0.03,0.666666667,0.444444448
0.04,0.777777778,0.666666687
0.05,0.777777778,0.777777791
0.06,0.888888889,0.777777791
0.07,0.888888889,0.888888896
0.08,1,0.888888896
0.09,1,0.888888896
0.1,1,1
0.11,1,1
0.12,1,1
0.13,1,1
0.14,1,1
0.15,1,1
