Percentage,CDAG,CloAct
0.01,0.071428571,0.071428575
0.02,0.142857143,0.071428575
0.03,0.142857143,0.071428575
0.04,0.214285714,0.214285716
0.05,0.214285714,0.214285716
0.06,0.357142857,0.357142866
0.07,0.357142857,0.357142866
0.08,0.428571429,0.357142866
0.09,0.428571429,0.357142866
0.1,0.5,0.357142866
0.11,0.5,0.5
0.12,0.642857143,0.5
0.13,0.642857143,0.5
0.14,0.642857143,0.5
0.15,0.714285714,0.5
